koi_id,planet_designation,p_orb_days,a_AU,r_pl_earth,teff,r_star_rsol,insolation_flux_F_E
K2-148,d,9.76,0.08,1.64,4079,0.63,16.46
K2-149,b,11.33,0.08,1.64,3745,0.57,8.32
K2-151,b,3.84,0.04,1.35,3585,0.43,20.57
K2-155,b,6.34,0.06,1.80,4258,0.58,31.41
K2-155,d,40.72,0.19,1.90,4258,0.58,2.64
K2-169,b,6.38,0.07,1.27,5548,0.92,159.76
K2-170,b,7.58,0.07,1.42,5748,0.98,169.56
K2-170,c,12.40,0.10,1.80,5748,0.98,87.91
K2-172,b,14.32,0.11,1.67,5569,0.87,51.48
K2-173,b,5.87,0.06,1.61,5580,0.84,164.81
K2-128,b,5.68,0.06,1.42,4470,0.78,69.46
K2-129,b,8.24,0.06,1.04,3459,0.36,5.12
K2-130,b,2.49,0.03,1.25,4356,0.74,172.82
K2-116,b,4.66,0.05,0.69,4348,0.67,62.50
K2-117,b,1.29,0.02,1.96,3842,0.49,130.04
K2-176,b,5.33,0.06,1.49,5428,0.86,168.33
K2-122,b,2.22,0.03,1.28,3993,0.59,94.44
K2-126,b,7.39,0.07,1.84,4368,0.62,28.82
K2-133,b,3.07,0.03,1.31,3655,0.47,32.48
K2-133,c,4.87,0.05,1.48,3655,0.47,17.47
K2-184,b,16.99,0.12,1.54,5252,0.76,26.89
K2-185,b,10.62,0.09,1.31,5722,0.91,90.31
K2-187,b,0.77,0.02,1.38,5477,0.89,2397.37
K2-187,c,2.87,0.04,1.70,5477,0.89,417.35
K2-188,b,1.74,0.03,1.26,5982,1.11,1643.23
K2-189,b,5.18,0.06,1.51,5503,0.86,186.20
K2-190,b,10.10,0.09,1.36,5631,0.91,95.83
K2-190,c,21.57,0.15,1.09,5631,0.91,34.83
K2-191,b,2.86,0.04,1.58,5176,0.84,313.64
K2-192,b,4.16,0.05,1.58,5252,0.83,201.13
K2-199,b,3.23,0.04,1.88,4681,0.67,133.09
K2-200,b,2.85,0.04,1.36,5233,0.79,299.98
K2-201,b,1.06,0.02,1.40,5507,0.88,1586.44
K2-203,b,9.70,0.08,1.37,5000,0.76,47.86
K2-205,b,26.67,0.17,2.00,5890,1.08,42.69
K2-208,b,4.19,0.05,1.68,5582,0.86,261.23
K2-209,b,2.08,0.03,0.87,4720,0.71,269.66
K2-210,b,0.57,0.01,0.82,5396,0.85,3230.73
K2-211,b,0.67,0.01,1.38,5221,0.82,2175.41
K2-213,b,8.13,0.08,1.51,5794,1.20,222.22
TRAPPIST-1,g,12.35,0.05,1.13,2559,0.12,0.27
TRAPPIST-1,h,18.77,0.06,0.75,2559,0.12,0.16
K2-216,b,2.17,0.03,1.68,4591,0.67,210.26
K2-219,b,3.90,0.05,1.35,5753,1.19,583.80
TRAPPIST-1,e,6.10,0.03,0.92,2559,0.12,0.70
TRAPPIST-1,f,9.21,0.04,1.04,2559,0.12,0.40
K2-131,b,0.37,0.01,1.81,5200,0.81,4763.12
K2-136,b,7.98,0.07,0.99,4499,0.66,32.06
K2-136,d,25.58,0.15,1.45,4499,0.66,6.78
K2-137,b,0.18,0.01,0.89,3492,0.44,767.79
Kepler-1652,b,38.10,0.17,1.60,3638,0.38,0.83
K2-138,b,2.35,0.03,1.57,5378,0.86,485.90
K2-141,b,0.28,0.01,1.51,4599,0.68,3318.11
K2-156,b,0.81,0.01,1.14,4460,0.62,632.00
K2-157,b,0.37,0.01,1.05,5456,0.88,6414.83
K2-162,b,9.46,0.08,1.49,4885,0.73,41.94
