koi_id,planet_designation,p_orb_days,a_AU,r_pl_earth,teff,r_star_rsol,insolation_flux_F_E
Kepler-1327,b,14.89,0.12,1.80,5885,1.03,80.31
Kepler-1328,b,4.52,0.05,0.98,5780,0.99,342.66
Kepler-1331,b,0.79,0.01,1.05,4508,0.69,786.07
Kepler-1332,b,11.87,0.10,1.37,5581,0.90,70.30
Kepler-1336,b,23.20,0.16,1.98,5512,1.30,57.55
Kepler-1336,c,5.78,0.06,1.71,5512,1.30,367.30
Kepler-1339,b,1.34,0.02,0.71,5586,0.93,1389.14
Kepler-1340,b,0.67,0.02,1.55,6331,1.42,11145.09
Kepler-1342,b,2.22,0.03,1.66,5527,0.90,643.24
Kepler-1344,b,4.77,0.06,1.84,5981,1.13,450.22
Kepler-1346,b,3.40,0.05,1.58,6133,1.21,868.98
Kepler-1347,b,14.01,0.11,1.03,5193,0.79,35.93
Kepler-1349,b,2.13,0.03,0.70,6086,1.28,1741.89
Kepler-1350,c,1.77,0.02,1.73,3827,0.53,98.42
Kepler-1191,b,5.60,0.06,1.51,5308,0.81,136.70
Kepler-1193,b,2.83,0.04,1.32,5908,1.21,990.22
Kepler-1194,b,16.22,0.12,1.51,5590,0.92,49.11
Kepler-1197,b,2.03,0.03,1.25,4708,0.72,273.46
Kepler-1198,b,7.68,0.07,1.47,5517,0.90,121.64
Kepler-1199,b,15.04,0.12,1.15,5889,1.17,108.20
Kepler-1200,b,1.12,0.02,1.06,4612,0.70,546.59
Kepler-1203,b,0.59,0.01,1.06,4105,0.61,676.44
Kepler-1205,b,1.08,0.02,1.41,5226,0.81,1164.21
Kepler-1206,b,1.22,0.02,1.64,4877,0.75,665.62
Kepler-1207,b,13.68,0.11,1.62,5909,1.06,94.30
Kepler-1209,b,25.37,0.18,1.51,6210,1.38,77.52
Kepler-1210,b,8.07,0.08,1.70,5568,0.92,122.64
Kepler-1213,b,5.35,0.06,1.19,6050,1.21,449.93
Kepler-1215,b,4.77,0.05,1.22,5616,0.93,259.90
Kepler-1216,b,4.37,0.05,1.39,5743,0.98,344.75
Kepler-1217,b,2.03,0.03,1.99,5905,1.08,1241.09
Kepler-206,d,23.44,0.16,1.19,5764,1.19,52.79
Kepler-207,b,1.61,0.03,1.57,5920,1.59,3312.71
Kepler-208,b,4.23,0.05,1.63,6092,1.31,727.27
Kepler-208,c,7.47,0.08,1.39,6092,1.31,339.80
Kepler-208,e,16.26,0.13,1.48,6092,1.31,121.71
Kepler-211,b,4.14,0.05,1.26,5123,0.82,180.36
Kepler-211,c,6.04,0.06,1.29,5123,0.82,108.10
Kepler-212,b,16.26,0.13,1.09,5852,1.46,126.80
Kepler-213,b,2.46,0.04,1.62,5696,1.20,1049.39
Kepler-42,b,1.21,0.01,0.78,3068,0.17,17.07
Kepler-42,c,0.45,0.01,0.73,3068,0.17,63.81
Kepler-42,d,1.87,0.02,0.57,3068,0.17,9.69
Kepler-46,d,6.77,0.07,1.64,5309,0.79,99.10
Kepler-49,d,2.58,0.03,1.60,4252,0.56,95.70
Kepler-49,e,18.60,0.12,1.56,4252,0.56,6.83
Kepler-50,b,7.81,0.08,1.71,6225,1.58,567.27
Kepler-52,c,16.39,0.10,1.84,4263,0.56,8.79
Kepler-52,d,36.45,0.18,1.95,4263,0.56,2.81
Kepler-54,c,12.07,0.08,1.23,4252,0.55,13.10
Kepler-1352,b,1.88,0.03,0.89,6118,1.16,1777.68
Kepler-1353,b,24.75,0.15,1.80,4776,0.72,10.51
Kepler-1355,b,1.29,0.02,1.46,5352,0.83,1027.00
Kepler-1356,b,0.63,0.01,1.53,5106,0.78,2029.80
Kepler-1357,b,3.01,0.04,1.28,5597,0.90,449.78
Kepler-1358,b,7.06,0.07,1.12,5181,0.79,88.71
Kepler-1361,b,3.58,0.04,0.86,5131,0.79,209.81
Kepler-1363,b,2.94,0.04,1.25,4839,0.72,189.63
Kepler-1365,b,7.70,0.08,0.92,5770,1.05,188.24
Kepler-1365,c,4.77,0.06,0.80,5770,1.05,355.98
Kepler-1366,b,2.16,0.03,1.43,4070,0.60,113.64
Kepler-1367,b,1.57,0.02,0.92,4106,0.60,180.00
Kepler-1368,b,0.68,0.02,1.65,5906,1.08,5358.90
Kepler-1370,b,20.26,0.15,1.84,6202,1.29,92.95
Kepler-1370,c,7.44,0.08,1.27,6202,1.29,353.46
Kepler-1371,b,3.45,0.04,0.73,5361,0.83,280.94
Kepler-1371,c,2.01,0.03,0.64,5361,0.83,578.27
Kepler-1372,b,1.31,0.02,1.27,5677,0.97,1615.94
Kepler-1373,b,1.29,0.02,1.16,6299,1.33,4062.71
Kepler-1375,b,3.30,0.05,1.74,6704,1.78,2359.45
Kepler-1250,b,2.61,0.04,1.92,5717,0.98,674.01
Kepler-1252,b,15.05,0.12,1.67,5949,1.09,90.19
Kepler-1253,b,68.89,0.33,1.33,5850,1.10,11.99
Kepler-1254,b,9.99,0.08,1.55,4985,0.75,44.62
Kepler-1254,c,3.60,0.04,1.30,4985,0.75,173.96
Kepler-1256,b,12.41,0.11,1.49,6129,1.36,191.55
Kepler-1257,b,2.67,0.04,1.52,5502,0.87,470.89
Kepler-1259,b,0.66,0.01,1.43,5053,0.77,1816.76
Kepler-1260,b,19.12,0.14,1.77,5961,1.08,64.90
Kepler-1262,b,8.68,0.08,1.82,5771,0.98,140.82
Kepler-1264,b,0.97,0.02,1.18,5791,0.98,2657.66
Kepler-1265,b,6.49,0.06,1.35,4630,0.69,53.14
Kepler-1269,b,37.33,0.23,1.63,5998,1.15,30.15
Kepler-1271,b,3.03,0.04,1.48,6143,1.23,1062.85
Kepler-1274,b,6.98,0.08,1.42,6179,2.17,940.49
Kepler-221,b,2.80,0.04,1.71,5243,0.82,333.00
Kepler-54,d,21.00,0.13,1.53,4252,0.55,5.59
Kepler-55,d,2.21,0.03,1.59,4503,0.62,168.61
Kepler-55,e,4.62,0.05,1.55,4503,0.62,61.55
Kepler-59,b,11.87,0.10,1.10,6074,0.94,101.37
Kepler-60,b,7.13,0.07,1.71,5905,1.26,320.73
Kepler-60,c,8.92,0.09,1.90,5905,1.26,238.12
Kepler-60,d,11.90,0.10,1.99,5905,1.26,162.14
Kepler-62,b,5.71,0.06,1.31,4925,0.64,70.70
Kepler-62,c,12.44,0.09,0.54,4925,0.64,25.05
Kepler-62,d,18.16,0.12,1.95,4925,0.64,15.01
Kepler-62,f,267.29,0.72,1.41,4925,0.64,0.42
Kepler-65,b,2.15,0.04,1.42,6211,1.41,2166.94
Kepler-65,d,8.13,0.08,1.52,6211,1.41,376.20
Kepler-68,c,9.61,0.09,1.00,5793,1.28,188.48
Kepler-1376,b,5.31,0.06,1.05,5659,0.97,247.34
Kepler-1377,b,0.74,0.02,1.25,5218,0.82,1925.52
Kepler-1379,b,0.88,0.02,1.30,5188,0.79,1417.82
Kepler-1380,b,10.31,0.09,1.43,5570,0.94,91.21
Kepler-1382,b,16.36,0.14,1.88,6161,1.72,195.85
Kepler-1383,b,13.91,0.12,1.41,6370,1.44,204.91
Kepler-1384,b,15.36,0.11,1.94,4919,0.74,23.20
Kepler-1386,b,6.74,0.07,1.24,5733,1.03,208.07
Kepler-1387,b,2.28,0.03,0.93,5046,0.77,342.54
Kepler-1389,b,99.25,0.39,1.77,5078,0.74,2.14
Kepler-1390,b,6.48,0.07,1.18,5753,0.98,206.71
Kepler-1391,b,54.41,0.28,1.68,5840,1.10,15.68
Kepler-1393,b,2.44,0.03,0.80,5697,0.92,656.52
Kepler-1394,b,3.94,0.06,1.39,6481,2.55,3107.23
Kepler-1395,b,3.78,0.05,0.80,6138,1.23,767.99
Kepler-1397,b,47.45,0.26,1.72,6026,1.12,21.29
Kepler-1398,b,2.79,0.04,0.90,6126,1.18,1078.79
Kepler-1398,c,4.14,0.05,1.03,6126,1.18,637.19
Kepler-1399,b,1.64,0.03,1.25,5735,0.96,1233.44
Kepler-1401,b,11.20,0.10,1.68,5964,1.10,136.76
Kepler-1402,b,2.03,0.03,0.76,5416,0.87,634.99
Kepler-504,b,9.55,0.06,1.59,3519,0.33,4.04
Kepler-560,b,18.48,0.10,1.72,3556,0.33,1.71
Kepler-69,c,242.46,0.64,1.71,5638,0.93,1.91
KOI-55,b,0.24,0.01,0.76,27730,0.20,589461.62
KOI-55,c,0.34,0.01,0.87,27730,0.20,367393.00
Kepler-81,d,20.84,0.13,1.21,4500,0.59,7.82
Kepler-82,d,2.38,0.03,1.77,5428,0.94,595.33
Kepler-83,d,5.17,0.05,1.94,4648,0.59,56.04
Kepler-84,d,4.22,0.05,1.38,6031,1.17,600.93
Kepler-85,d,17.91,0.13,1.20,5436,0.89,36.72
Kepler-85,e,25.22,0.16,1.27,5436,0.89,23.36
KOI-94,b,3.74,0.05,1.71,6182,1.52,1155.40
Kepler-1406,b,11.63,0.10,1.10,5892,1.12,130.09
Kepler-1408,b,3.00,0.04,0.89,6170,1.35,1260.26
Kepler-1410,b,60.87,0.26,1.78,4092,0.60,1.34
Kepler-1412,b,3.61,0.05,0.83,5880,1.27,783.02
Kepler-1413,b,13.18,0.10,1.82,5196,0.80,39.41
Kepler-1415,b,0.64,0.01,1.29,5267,0.84,2510.90
Kepler-1416,b,1.50,0.03,0.88,6019,1.15,2245.10
Kepler-1417,b,20.35,0.15,1.00,5839,1.02,50.31
Kepler-1420,b,6.70,0.07,1.28,5187,0.79,95.63
Kepler-1421,b,6.91,0.08,0.93,6335,1.42,497.73
Kepler-1424,b,29.61,0.19,1.16,5838,1.07,33.56
Kepler-1425,b,14.45,0.11,0.94,5718,0.95,65.49
Kepler-1426,b,14.26,0.12,1.56,5831,1.02,80.42
Kepler-1427,b,0.97,0.02,1.10,5793,1.01,2787.62
Kepler-1218,b,22.92,0.16,1.44,5986,1.10,53.75
Kepler-1220,b,7.43,0.07,1.52,5842,0.99,184.52
Kepler-1221,b,12.00,0.10,1.88,5194,0.82,45.77
Kepler-1222,b,1.92,0.03,0.79,5239,0.80,532.66
Kepler-1223,b,16.30,0.12,1.22,4870,0.75,20.80
Kepler-1225,b,7.01,0.07,1.82,6140,1.19,323.82
Kepler-1226,b,17.29,0.13,1.45,5923,1.02,66.19
Kepler-1228,b,0.58,0.01,1.54,5063,0.74,2068.71
Kepler-1231,b,10.42,0.09,1.42,5778,1.00,113.98
Kepler-1232,b,26.78,0.17,1.93,5471,0.89,21.93
Kepler-1235,b,4.16,0.05,0.79,5541,0.90,280.49
Kepler-1240,b,4.87,0.06,1.15,5682,0.96,276.52
Kepler-1244,b,3.70,0.05,1.35,6680,1.77,1980.69
Kepler-1245,b,4.35,0.05,1.44,5306,0.83,198.90
Kepler-1245,c,2.94,0.04,1.44,5306,0.83,336.29
Kepler-1246,b,11.32,0.09,1.36,4611,0.69,24.45
Kepler-1248,b,7.47,0.08,1.18,6149,1.21,295.79
KOI-351,b,7.01,0.07,1.31,6080,1.20,322.41
KOI-351,c,8.72,0.09,1.19,6080,1.20,222.89
Kepler-93,b,4.73,0.06,1.57,5669,0.98,276.51
Kepler-99,b,4.60,0.05,1.48,4782,0.73,99.73
Kepler-100,d,35.33,0.22,1.61,5825,1.49,49.05
Kepler-101,c,6.03,0.07,1.25,5667,1.56,481.34
Kepler-102,b,5.29,0.06,0.47,4909,0.76,98.16
Kepler-102,c,7.07,0.07,0.58,4909,0.76,66.61
Kepler-105,c,7.13,0.07,1.31,5827,0.89,160.27
Kepler-106,d,23.98,0.16,0.95,5858,1.04,43.14
Kepler-107,b,3.18,0.04,1.56,5851,1.41,1079.82
Kepler-962,b,12.06,0.10,1.97,5478,0.86,59.22
Kepler-968,c,5.71,0.06,1.69,4598,0.70,60.36
Kepler-973,b,49.61,0.25,1.96,5213,0.78,6.38
Kepler-975,b,1.97,0.03,1.48,4897,0.75,355.90
Kepler-990,c,0.54,0.01,1.53,5948,1.08,7557.65
Kepler-228,b,2.57,0.04,1.53,6043,1.01,845.25
Kepler-231,b,10.07,0.07,1.73,3767,0.49,7.92
Kepler-235,c,7.82,0.06,1.28,4255,0.55,21.06
Kepler-24,d,4.24,0.05,1.67,5897,1.29,694.16
TRAPPIST-1,b,1.51,0.01,1.09,2559,0.12,4.49
TRAPPIST-1,c,2.42,0.02,1.06,2559,0.12,2.39
TRAPPIST-1,d,4.05,0.02,0.77,2559,0.12,1.21
Kepler-107,c,4.90,0.06,1.81,5851,1.41,600.56
Kepler-110,b,12.69,0.11,1.83,5960,1.15,130.77
Kepler-111,b,3.34,0.05,1.58,5952,1.16,716.06
Kepler-78,b,0.36,0.01,1.12,5089,0.75,3948.37
Kepler-80,d,3.07,0.04,1.53,4540,0.68,127.37
Kepler-113,b,4.75,0.05,1.82,4725,0.69,84.23
Kepler-114,b,5.19,0.05,1.26,4605,0.67,64.48
Kepler-994,b,1.15,0.02,1.60,3934,0.54,199.57
Kepler-996,b,3.77,0.05,1.98,6014,1.14,640.58
Kepler-1002,b,4.34,0.06,1.71,6144,1.57,1018.89
Kepler-1003,b,3.55,0.05,1.78,6109,1.17,767.74
Kepler-1005,b,6.50,0.07,1.50,5782,1.06,242.56
Kepler-1006,b,19.76,0.13,1.54,5328,0.74,22.83
Kepler-1007,b,5.19,0.05,1.44,4587,0.70,69.83
Kepler-1008,b,12.44,0.10,1.28,5066,0.78,37.47
Kepler-1012,b,5.51,0.06,1.29,5556,0.91,196.58
Kepler-1017,b,7.23,0.07,1.99,5473,0.87,119.32
Kepler-80,f,0.99,0.02,1.21,4540,0.68,575.52
Kepler-507,b,3.57,0.05,1.30,6113,1.32,946.71
Kepler-508,b,25.31,0.18,1.64,6025,1.25,58.78
Kepler-514,b,5.65,0.07,1.72,6106,1.44,568.81
Kepler-515,b,19.96,0.14,1.46,5293,0.83,25.09
Kepler-520,b,19.67,0.15,1.66,6112,1.09,68.61
Kepler-520,c,5.21,0.06,1.07,6112,1.09,403.36
Kepler-1019,b,1.41,0.02,1.46,4433,0.67,325.35
Kepler-1025,b,37.32,0.22,1.98,6089,1.13,31.12
Kepler-342,e,1.64,0.03,0.88,6175,1.47,3495.06
Kepler-1028,b,2.51,0.03,1.33,5522,0.87,517.10
Kepler-1029,b,4.42,0.05,1.26,5030,0.77,139.98
Kepler-1031,b,1.23,0.02,0.87,6011,1.12,2759.23
Kepler-1035,b,2.71,0.04,1.17,5763,0.97,650.77
Kepler-1037,b,1.06,0.02,1.28,5105,0.78,1017.25
Kepler-1039,b,0.93,0.02,1.46,4870,0.74,923.47
Kepler-1046,b,14.38,0.12,1.71,5913,1.04,86.31
Kepler-1047,c,3.19,0.04,0.99,5754,1.13,663.47
Kepler-1048,b,6.92,0.06,1.61,4651,0.70,49.32
Kepler-1050,b,15.38,0.12,1.60,6010,1.13,96.33
Kepler-1050,c,21.13,0.15,1.48,6010,1.13,63.07
Kepler-1053,b,2.41,0.03,0.98,4529,0.69,177.05
Kepler-1055,b,2.30,0.03,1.23,5723,0.94,743.28
Kepler-1059,b,3.76,0.04,1.73,4906,0.72,145.52
Kepler-1061,b,2.76,0.04,1.98,6067,1.07,886.88
Kepler-1063,b,14.08,0.12,1.49,5945,1.14,105.59
Kepler-1064,b,16.54,0.12,1.55,5153,0.79,27.25
Kepler-1067,b,0.76,0.02,0.80,5592,0.93,2944.33
Kepler-1069,b,23.90,0.16,1.60,5722,0.98,35.26
Kepler-1070,b,6.22,0.07,1.73,6261,1.32,482.61
Kepler-1072,b,1.57,0.03,1.58,6199,1.32,2926.83
Kepler-821,b,1.92,0.03,1.31,5191,0.80,511.32
Kepler-1073,c,4.03,0.05,1.64,5792,1.00,411.57
Kepler-1074,b,5.95,0.05,1.25,4002,0.57,25.47
Kepler-1075,b,1.52,0.02,1.42,3959,0.54,140.84
Kepler-1076,b,6.15,0.06,0.80,4868,0.74,74.84
Kepler-1078,b,3.01,0.04,1.90,5612,0.92,472.07
Kepler-1079,b,13.25,0.11,1.63,5758,1.36,144.35
Kepler-1081,b,3.86,0.05,1.01,5345,0.84,242.84
Kepler-1082,b,1.54,0.03,1.12,5923,1.14,2059.64
Kepler-1084,b,2.05,0.03,1.11,6113,1.28,1903.78
Kepler-1087,b,0.69,0.02,0.61,5589,0.94,3378.07
Kepler-1088,b,23.13,0.16,1.42,5975,1.08,50.20
Kepler-1089,b,5.13,0.05,1.83,3753,0.49,19.49
Kepler-1093,b,25.08,0.17,1.95,6166,1.20,61.20
Kepler-1093,c,89.72,0.41,1.96,6166,1.20,11.19
Kepler-1096,b,2.89,0.03,1.24,4306,0.63,102.31
Kepler-1098,b,2.54,0.04,1.30,5794,0.99,750.28
Kepler-822,b,3.22,0.04,1.77,5928,1.08,681.62
Kepler-823,b,4.17,0.05,1.57,5643,0.96,330.72
Kepler-824,b,4.51,0.06,1.87,6035,1.22,564.64
Kepler-825,b,3.77,0.05,1.53,5976,1.08,581.47
Kepler-825,c,8.18,0.08,1.84,5976,1.08,207.21
Kepler-826,b,4.49,0.05,1.25,6079,1.15,553.16
Kepler-828,b,0.57,0.01,1.51,5039,0.77,2191.07
Kepler-830,b,11.30,0.10,1.70,6037,1.11,144.54
Kepler-831,b,5.62,0.06,1.27,5732,0.97,239.59
Kepler-842,b,1.22,0.02,1.60,4848,0.73,624.45
Kepler-844,b,2.61,0.03,1.68,4128,0.57,87.27
Kepler-847,b,2.34,0.03,1.18,4940,0.77,300.85
Kepler-1100,b,6.42,0.07,1.75,6247,1.34,472.52
Kepler-1104,b,5.04,0.06,1.23,6417,1.41,767.62
Kepler-1106,b,1.25,0.02,1.65,6104,1.17,3074.21
Kepler-1107,b,0.57,0.01,1.34,5268,0.82,2830.94
Kepler-1108,b,4.51,0.05,1.46,5406,0.84,206.27
Kepler-215,b,9.36,0.08,1.62,5739,1.03,146.34
Kepler-215,c,14.67,0.11,1.77,5739,1.03,80.87
Kepler-215,e,68.16,0.31,1.75,5739,1.03,10.47
Kepler-217,c,8.59,0.09,1.85,6171,1.80,532.21
Kepler-218,b,3.62,0.05,1.48,5502,1.06,436.59
Kepler-115,b,2.40,0.04,1.09,5979,1.21,1295.32
Kepler-118,b,7.52,0.07,1.96,5274,1.09,154.76
Kepler-119,c,4.13,0.05,0.92,5595,0.84,258.38
Kepler-120,c,12.79,0.09,1.53,4096,0.53,9.16
Kepler-122,f,56.27,0.29,1.75,6050,1.22,21.81
Kepler-123,c,26.70,0.18,1.48,6089,1.26,59.77
Kepler-124,c,13.82,0.10,1.75,4984,0.64,22.68
Kepler-124,d,30.95,0.17,1.11,4984,0.64,7.85
Kepler-848,b,6.91,0.07,1.70,5695,1.20,267.70
Kepler-850,b,7.19,0.07,1.78,5932,1.09,238.69
Kepler-851,b,8.51,0.08,1.68,5455,0.85,93.25
Kepler-853,b,7.17,0.08,1.69,6350,1.55,555.64
Kepler-866,b,2.62,0.03,1.63,4751,0.71,202.06
Kepler-872,b,2.58,0.04,1.99,5902,1.08,907.31
Kepler-876,b,5.14,0.05,1.43,5060,0.77,117.97
Kepler-878,b,25.94,0.16,1.93,5044,0.77,13.47
Kepler-881,b,4.44,0.05,1.78,5961,1.09,462.49
Kepler-220,b,4.16,0.05,0.81,4632,0.67,87.62
Kepler-220,c,9.03,0.08,1.57,4632,0.67,32.10
Kepler-220,d,28.12,0.16,0.98,4632,0.67,6.98
Kepler-220,e,45.90,0.23,1.33,4632,0.67,3.63
Kepler-224,b,3.13,0.04,1.39,5018,0.68,182.17
Kepler-224,e,18.64,0.12,1.97,5018,0.68,17.11
Kepler-225,b,6.74,0.06,1.20,3682,0.48,12.12
Kepler-225,c,18.79,0.11,1.84,3682,0.48,3.08
Kepler-226,b,3.94,0.05,1.55,5571,0.80,250.39
Kepler-226,d,8.11,0.08,1.22,5571,0.80,95.76
Kepler-126,b,10.50,0.10,1.52,6239,1.36,256.55
Kepler-126,c,21.87,0.16,1.58,6239,1.36,95.81
Kepler-128,b,15.09,0.13,1.13,6090,1.66,213.20
Kepler-130,b,8.46,0.08,1.02,5884,1.13,220.04
Kepler-130,d,87.52,0.38,1.64,5884,1.13,9.66
Kepler-132,b,6.18,0.07,1.21,6003,1.18,361.40
Kepler-132,d,18.01,0.14,1.55,6003,1.18,87.71
Kepler-133,b,8.13,0.08,1.76,5736,1.43,288.30
Kepler-135,b,6.00,0.07,1.81,6090,1.27,443.43
Kepler-135,c,11.45,0.10,1.16,6090,1.27,187.63
Kepler-137,b,8.44,0.08,1.47,5187,0.80,70.11
Kepler-137,c,18.74,0.13,1.88,5187,0.80,24.60
Kepler-138,d,23.09,0.13,1.21,3841,0.44,2.32
Kepler-310,b,13.93,0.11,1.19,5797,0.88,63.68
Kepler-312,b,1.77,0.03,1.29,6115,1.47,2820.95
Kepler-314,b,2.46,0.04,0.83,5378,0.95,552.96
Kepler-316,b,2.24,0.03,1.06,4204,0.52,103.95
Kepler-32,e,2.90,0.03,1.50,3900,0.53,53.54
Kepler-320,b,8.37,0.09,1.14,6435,1.11,262.36
Kepler-322,b,1.65,0.03,1.01,5388,0.89,821.60
Kepler-324,b,4.39,0.05,1.14,5194,0.84,184.30
Kepler-327,c,5.21,0.05,1.03,3799,0.49,20.31
Kepler-329,b,7.42,0.06,1.40,4257,0.52,21.41
Kepler-331,b,8.46,0.06,1.82,4347,0.49,18.21
Kepler-332,d,34.21,0.19,1.18,4955,0.72,7.85
Kepler-334,c,12.76,0.11,1.43,5828,1.07,103.51
Kepler-336,b,2.02,0.03,1.02,5867,1.30,1649.76
Kepler-341,e,42.47,0.24,1.99,6012,1.02,20.82
Kepler-345,c,9.39,0.08,1.20,4504,0.62,23.94
Kepler-347,c,27.32,0.18,1.75,6088,1.00,36.80
Kepler-349,c,12.25,0.10,1.96,5956,0.93,88.57
Kepler-353,c,8.41,0.06,1.38,3903,0.50,12.32
Kepler-370,c,19.02,0.14,1.91,5852,0.90,43.49
Kepler-371,c,67.97,0.31,1.78,5666,0.99,9.25
Kepler-372,b,6.85,0.08,1.36,6509,1.14,372.09
Kepler-372,d,30.09,0.20,1.69,6509,1.14,51.81
Kepler-373,b,5.54,0.06,1.36,5787,0.84,197.23
Kepler-373,c,16.73,0.13,1.24,5787,0.84,44.72
Kepler-374,b,1.90,0.03,1.03,5977,0.91,1127.50
Kepler-374,c,3.28,0.04,1.10,5977,0.91,537.55
Kepler-374,d,5.03,0.06,1.31,5977,0.91,302.37
Kepler-375,b,12.13,0.10,1.45,5826,0.84,71.50
Kepler-376,b,4.92,0.06,1.07,5900,1.18,465.93
Kepler-376,c,14.17,0.12,1.79,5900,1.18,114.47
Kepler-377,b,12.51,0.11,1.39,5949,1.22,140.78
Kepler-378,b,16.09,0.11,0.75,4661,0.67,15.15
Kepler-378,c,28.91,0.17,0.70,4661,0.67,6.90
Kepler-379,b,20.10,0.15,1.66,6054,1.31,89.52
Kepler-380,c,7.63,0.08,1.27,6045,1.22,293.10
Kepler-381,b,5.63,0.07,0.99,6152,1.57,727.24
Kepler-381,c,13.39,0.12,1.12,6152,1.57,231.41
Kepler-382,c,12.16,0.10,1.59,5600,0.94,82.86
Kepler-383,b,12.90,0.09,1.32,4710,0.67,21.96
Kepler-384,c,45.35,0.24,1.13,5577,0.88,12.07
Kepler-1530,b,2.59,0.04,1.64,5477,0.88,484.97
Kepler-1530,c,5.32,0.06,1.65,5477,0.88,185.65
Kepler-1531,b,1.14,0.02,1.11,6260,1.27,4419.83
Kepler-1532,b,1.09,0.02,1.35,5559,0.88,1636.89
Kepler-1534,b,5.72,0.06,1.89,5442,0.86,159.45
Kepler-1537,b,1.44,0.02,1.18,5079,0.77,651.29
Kepler-1541,b,8.41,0.08,1.16,5282,0.81,77.37
Kepler-1542,b,3.95,0.05,0.76,5564,0.99,367.03
Kepler-1542,c,2.89,0.04,0.65,5564,0.99,556.37
Kepler-1542,d,5.99,0.06,0.87,5564,0.99,210.62
Kepler-1542,e,5.10,0.06,0.76,5564,0.99,261.08
Kepler-1544,b,168.81,0.56,1.78,4886,0.74,0.90
Kepler-1547,b,0.69,0.02,0.90,6078,1.18,6729.35
Kepler-1555,b,8.11,0.08,1.61,5866,1.06,186.45
Kepler-646,b,15.87,0.12,1.99,5634,0.91,51.41
Kepler-647,b,16.23,0.13,1.17,6020,1.07,84.06
Kepler-625,c,4.17,0.05,1.05,5789,0.96,352.37
Kepler-629,b,7.24,0.07,1.38,5444,0.84,108.80
Kepler-633,b,8.50,0.08,1.63,5899,1.15,213.27
Kepler-634,b,5.17,0.06,1.89,6075,1.24,538.04
Kepler-638,b,6.08,0.06,1.83,5382,0.93,166.79
Kepler-641,b,9.49,0.09,1.85,5713,1.13,156.49
Kepler-355,b,11.03,0.10,1.46,6184,1.07,144.39
Kepler-362,c,37.87,0.21,1.45,5788,0.72,12.18
Kepler-366,c,12.52,0.11,1.79,6209,1.05,121.50
Kepler-371,b,34.76,0.20,1.89,5666,0.99,22.66
Kepler-380,b,3.93,0.05,1.19,6045,1.22,713.29
Kepler-382,b,5.26,0.05,1.32,5600,0.94,257.74
Kepler-384,b,22.60,0.15,1.12,5577,0.88,30.69
Kepler-386,c,25.19,0.16,1.58,5178,0.77,15.92
Kepler-388,c,13.30,0.09,0.86,4498,0.59,14.78
Kepler-390,c,13.06,0.10,0.79,5166,0.78,38.11
Kepler-392,c,10.42,0.09,1.10,5938,1.13,164.68
Kepler-395,b,7.05,0.06,1.03,4262,0.56,24.95
Kepler-399,b,14.43,0.10,0.96,5502,0.68,35.84
Kepler-401,b,14.38,0.12,1.71,6117,1.33,149.29
Kepler-402,d,8.92,0.09,1.38,6090,1.26,258.86
Kepler-386,b,12.31,0.10,1.39,5178,0.77,41.49
Kepler-387,b,6.79,0.07,1.03,5774,1.05,237.78
Kepler-387,c,11.84,0.10,0.89,5774,1.05,114.48
Kepler-388,b,3.17,0.04,0.81,4498,0.59,98.65
Kepler-389,b,3.24,0.04,1.51,5376,0.79,278.24
Kepler-389,c,14.51,0.11,1.46,5376,0.79,38.65
Kepler-390,b,6.74,0.06,0.82,5166,0.78,92.02
Kepler-392,b,5.34,0.06,1.00,5938,1.13,409.18
Kepler-393,b,9.18,0.09,1.29,6189,1.38,302.73
Kepler-393,c,14.61,0.12,1.33,6189,1.38,163.04
Kepler-394,b,8.01,0.08,1.60,6402,1.13,279.36
Kepler-394,c,12.13,0.11,1.66,6402,1.13,159.05
Kepler-395,c,34.99,0.18,1.32,4262,0.56,2.96
Kepler-398,b,4.08,0.04,0.93,4493,0.61,70.27
Kepler-398,c,11.42,0.09,1.01,4493,0.61,17.97
Kepler-399,c,26.68,0.16,1.43,5502,0.68,15.82
Kepler-399,d,58.03,0.26,1.89,5502,0.68,5.58
Kepler-400,b,9.02,0.09,1.65,5886,1.15,188.16
Kepler-1556,b,8.83,0.08,1.96,5608,0.95,116.95
Kepler-1557,b,3.74,0.05,1.53,6099,1.17,712.72
Kepler-1559,b,0.97,0.02,0.72,5316,0.82,1444.56
Kepler-1560,b,3.03,0.04,0.89,5815,1.02,626.58
Kepler-1561,b,1.01,0.02,1.09,5957,1.11,3449.57
Kepler-1563,b,3.43,0.04,0.75,5765,0.99,489.64
Kepler-1564,b,18.05,0.13,1.47,5528,0.90,39.26
Kepler-1565,b,1.54,0.02,1.19,4940,0.73,502.66
Kepler-1566,b,0.54,0.01,0.79,5254,0.81,2991.68
Kepler-1568,b,20.93,0.15,1.30,5956,1.19,68.34
Kepler-1569,b,5.79,0.07,1.68,6319,1.40,606.41
Kepler-1570,b,26.55,0.17,1.07,5550,0.89,23.49
Kepler-1571,b,3.39,0.05,1.52,6297,1.39,1219.16
Kepler-1573,b,2.62,0.04,1.20,5808,1.00,734.57
Kepler-1574,b,6.94,0.07,1.29,5892,1.08,239.12
Kepler-1575,b,2.55,0.04,1.31,5667,0.92,606.29
Kepler-1577,b,6.31,0.06,1.13,4862,0.74,72.60
